,Unnamed: 0,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022
0,Sales +,5051,5420,4636,2923,5350,6788,6651,5585,7096,8527,7893,8607,8458
1,Expenses +,4099,4231,3776,2453,4085,5001,5333,4674,6192,6985,6449,7051,7230
2,Operating Profit,952,1189,860,470,1265,1788,1318,911,904,1542,1443,1556,1228
3,OPM %,19%,22%,19%,16%,24%,26%,20%,16%,13%,18%,18%,18%,15%
4,Other Income +,121,89,60,47,94,123,81,90,148,87,-26,88,118
5,Interest,26,24,26,20,21,21,30,21,24,27,23,29,35
6,Depreciation,197,197,194,191,194,193,213,201,203,208,205,208,216
7,Profit before tax,849,1057,699,306,1146,1697,1156,779,826,1394,1189,1407,1094
8,Tax %,1%,26%,31%,28%,26%,25%,25%,26%,27%,26%,26%,26%,27%
9,Net Profit,842,780,480,220,852,1265,870,574,605,1031,874,1036,804
10,EPS in Rs,8.58,7.97,4.82,2.28,8.66,12.91,8.88,5.93,6.21,10.59,8.87,10.60,8.16
11,Raw PDF,,,,,,,,,,,,,
