,Company,Amount
0,RELIANCE.NS,86984262
0,TCS.NS,31671444
0,HDFCBANK.NS,62391564
0,INFY.NS,175846827
0,ICICIBANK.NS,69189624
0,HINDUNILVR.NS,19615740
0,SBIN.NS,43546820
0,BAJFINANCE.NS,197346087
0,HDFC.NS,17451700
0,BHARTIARTL.NS,71466268
0,KOTAKBANK.NS,40689666
0,WIPRO.NS,6769828
0,HCLTECH.NS,9593508
0,ITC.NS,43807875
0,ADANIGREEN.NS,36781168
0,ASIANPAINT.NS,27226203
0,BAJAJFINSV.NS,70837611
0,ADANITRANS.NS,1649929
0,DMART.NS,5262985
0,LT.NS,36023687
0,ATGL.NS,1651250
0,AXISBANK.NS,34970220
0,MARUTI.NS,9249504
0,TITAN.NS,65340352
0,ADANIENT.NS,380436048
0,SUNPHARMA.NS,4313556
0,ONGC.NS,3735216
0,ULTRACEMCO.NS,48480124
0,JSWSTEEL.NS,2640456
0,ADANIPORTS.NS,77064950
0,TATASTEEL.NS,27615912
0,POWERGRID.NS,7009404
0,VEDL.NS,7646808
0,TECHM.NS,30051340
0,TATAMOTORS.NS,17055045
0,HINDZINC.NS,1846980
0,NTPC.NS,4118460
0,HINDALCO.NS,20094800
0,PIDILITIND.NS,3870464
0,DIVISLAB.NS,21873593
0,HDFCLIFE.NS,29231400
0,COALINDIA.NS,2120115
0,SBILIFE.NS,8673162
0,IOC.NS,25680240
0,GRASIM.NS,48367420
0,BAJAJ-AUTO.NS,9974090
0,M&M.NS,63312780
0,DABUR.NS,2764518
0,DLF.NS,13702671
0,SHREECEM.NS,4263780
0,SIEMENS.NS,12319650
0,CIPLA.NS,4011920
0,SBICARD.NS,3562845
0,NYKAA.NS,15908320
0,SRF.NS,7226964
0,BPCL.NS,19879630
0,INDIGO.NS,3689460
0,BRITANNIA.NS,2887500
0,GODREJCP.NS,2602746
0,TATAPOWER.NS,7708820
0,INDUSINDBK.NS,25903472
0,HAVELLS.NS,8186150
0,ICICIPRULI.NS,789160
0,TATACONSUM.NS,2745766
0,DRREDDY.NS,27453264
0,ADANIPOWER.NS,3912656
0,GAIL.NS,13433095
0,BERGEPAINT.NS,6404832
0,EICHERMOT.NS,5374516
0,AWL.NS,42117642
0,ICICIGI.NS,256510
0,MARICO.NS,2053884
0,APOLLOHOSP.NS,6844377
0,ZOMATO.NS,78983688
0,MCDOWELL-N.NS,204610
0,MPHASIS.NS,9887220
0,IRCTC.NS,5672546
0,INDUSTOWER.NS,4322080
0,AMBUJACEM.NS,36338848
0,CHOLAFIN.NS,7392972
0,UPL.NS,6237660
0,NAUKRI.NS,5971108
0,BANKBARODA.NS,33290782
0,BAJAJHLDNG.NS,372039
0,TATAELXSI.NS,2304945
